
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
90:5C:44:9B:EA:3B, 2020-12-19 11:10:59, 2020-12-19 11:10:59, 11, 130, WPA2, CCMP TKIP, PSK, -79,        1,        0,   0.  0.  0.  0,  10, UPCF2B4B5E, 
92:5C:14:9B:EA:3B, 2020-12-19 10:58:31, 2020-12-19 11:10:59, 11, 130, WPA2, CCMP TKIP, MGT, -80,        2,        0,   0.  0.  0.  0,  11, UPC Wi-Free, 
B0:6E:BF:3E:6E:78, 2020-12-19 11:10:11, 2020-12-19 11:10:11, 10, 195, WPA2, CCMP, PSK, -83,        0,        0,   0.  0.  0.  0,   4, mike, 
3C:F0:11:16:A3:D2, 2020-12-19 11:01:36, 2020-12-19 11:01:36,  9,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
8E:04:FF:F3:8C:9D, 2020-12-19 10:57:39, 2020-12-19 11:13:14,  6, 130, WPA2, CCMP TKIP, MGT, -81,       43,        0,   0.  0.  0.  0,  11, UPC Wi-Free, 
6A:02:98:1F:F3:88, 2020-12-19 10:57:34, 2020-12-19 11:14:43,  1, 130, WPA2, CCMP TKIP, MGT, -84,      102,        0,   0.  0.  0.  0,  11, UPC Wi-Free, 
36:2C:94:DA:F3:73, 2020-12-19 10:57:34, 2020-12-19 11:14:42,  1, 130, WPA2, CCMP TKIP, MGT, -84,       86,        0,   0.  0.  0.  0,  11, UPC Wi-Free, 
68:02:B8:1F:F3:88, 2020-12-19 10:57:34, 2020-12-19 11:14:43,  1, 130, WPA2, CCMP TKIP, PSK, -81,       89,        0,   0.  0.  0.  0,  12, WLAN10003581, 
34:2C:C4:DA:F3:73, 2020-12-19 10:57:34, 2020-12-19 11:14:42,  1, 130, WPA2, CCMP TKIP, PSK, -79,       76,        0,   0.  0.  0.  0,  12, WLAN12623786, 
FC:B4:E6:48:3E:C7, 2020-12-19 10:57:39, 2020-12-19 11:14:48,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -78,      113,        1,   0.  0.  0.  0,  10, UPC6301525, 
8C:04:FF:F3:8C:9B, 2020-12-19 10:58:21, 2020-12-19 11:14:47,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -76,       50,        0,   0.  0.  0.  0,  10, UPC1069086, 
A0:4F:D4:E0:4A:DD, 2020-12-19 10:57:38, 2020-12-19 11:14:48,  6, 130, WPA2, CCMP, PSK, -73,      359,        2,   0.  0.  0.  0,   9, A1-e04ad9, 
90:FD:73:AC:B9:A0, 2020-12-19 10:57:49, 2020-12-19 11:14:58, 40, 780, WPA2, CCMP, PSK, -61,      304,        0,   0.  0.  0.  0,  18, Drei_H288A_5G_7kd9, 
90:FD:73:AC:B9:9F, 2020-12-19 10:57:33, 2020-12-19 11:14:52,  9, 130, WPA2, CCMP, PSK, -59,      451,     2160,   0.  0.  0.  0,  19, Drei_H288A_24G_7kd9, 
88:F7:C7:45:7B:29, 2020-12-19 10:58:21, 2020-12-19 11:14:43,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3C:F0:11:16:A3:D2, 2020-12-19 11:01:36, 2020-12-19 11:10:56, -30,       35, 90:FD:73:AC:B9:9F,
F2:7B:2E:B6:EA:9F, 2020-12-19 11:01:34, 2020-12-19 11:01:34, -82,        1, (not associated) ,FRITZ!Box 7530 HA
9A:74:FE:34:25:56, 2020-12-19 11:05:22, 2020-12-19 11:05:22, -78,        1, 88:F7:C7:45:7B:29,
8E:3C:07:77:84:58, 2020-12-19 10:58:21, 2020-12-19 11:14:43, -83,       14, 88:F7:C7:45:7B:29,
70:66:55:BE:64:18, 2020-12-19 10:57:34, 2020-12-19 11:14:54, -78,      821, (not associated) ,Drei_H288A_5G_7kd9
F0:99:BF:7C:B0:32, 2020-12-19 10:59:13, 2020-12-19 11:14:48, -75,       15, A0:4F:D4:E0:4A:DD,
34:2E:B6:1C:D2:8D, 2020-12-19 10:59:16, 2020-12-19 11:14:50, -66,       49, 90:FD:73:AC:B9:9F,
D0:3F:AA:E0:D8:02, 2020-12-19 10:57:33, 2020-12-19 11:14:00, -59,      139, 90:FD:73:AC:B9:9F,Drei_H288A_24G_7kd9
BC:14:85:4D:82:B0, 2020-12-19 10:57:42, 2020-12-19 11:14:50,  -1,     2118, 90:FD:73:AC:B9:9F,

